Government,Germany, Velo , Medium ,1307.0,120.00,350.00,457450.00,41170.50,416279.50,339820.00,76459.50,7/1/2014,7, July 
Small Business,Germany, Paseo , Low ,1728.0,10.00,300.00,518400.00,10368.00,508032.00,432000.00,76032.00,5/1/2014,5, May 
Small Business,Germany, Montana , Low ,1859.0,5.00,300.00,557700.00,22308.00,535392.00,464750.00,70642.00,8/1/2014,8, August 
Small Business,Germany, VTT , Medium ,2659.0,250.00,300.00,797700.00,71793.00,725907.00,664750.00,61157.00,2/1/2014,2, February 
Small Business,Germany, Paseo , Low ,1414.5,10.00,300.00,424350.00,16974.00,407376.00,353625.00,53751.00,4/1/2014,4, April 
Government,Germany, Montana , High ,1199.0,5.00,350.00,419650.00,58751.00,360899.00,311740.00,49159.00,4/1/2014,4, April 
Small Business,Germany, Carretera , High ,2811.0,3.00,300.00,843300.00,92763.00,750537.00,702750.00,47787.00,7/1/2014,7, July 
Small Business,Germany, VTT , Low ,986.0,250.00,300.00,295800.00,2958.00,292842.00,246500.00,46342.00,9/1/2014,9, September 
Small Business,Germany, Velo , Medium ,1250.0,120.00,300.00,375000.00,18750.00,356250.00,312500.00,43750.00,12/1/2014,12, December 
Small Business,Germany, Amarilla , Medium ,1250.0,260.00,300.00,375000.00,18750.00,356250.00,312500.00,43750.00,12/1/2014,12, December 
Government,Germany, Carretera , High ,792.0,3.00,350.00,277200.00,30492.00,246708.00,205920.00,40788.00,3/1/2014,3, March 
Government,Germany, Montana , High ,766.0,5.00,350.00,268100.00,29491.00,238609.00,199160.00,39449.00,1/1/2014,1, January 
Small Business,Germany, Paseo , Medium ,1123.0,10.00,300.00,336900.00,23583.00,313317.00,280750.00,32567.00,9/1/2013,9, September 
Small Business,Germany, Carretera , Low ,689.0,3.00,300.00,206700.00,6201.00,200499.00,172250.00,28249.00,6/1/2014,6, June 
Small Business,Germany, Paseo , Low ,689.0,10.00,300.00,206700.00,6201.00,200499.00,172250.00,28249.00,6/1/2014,6, June 
Government,Germany, VTT , Medium ,422.0,250.00,350.00,147700.00,11816.00,135884.00,109720.00,26164.00,8/1/2014,8, August 
Channel Partners,Germany, VTT , None ,2838.0,250.00,12.00,34056.00,0.00,34056.00,8514.00,25542.00,4/1/2014,4, April 
Government,Germany, Carretera , Low ,2580.0,3.00,20.00,51600.00,1548.00,50052.00,25800.00,24252.00,4/1/2014,4, April 
Government,Germany, Montana , High ,2992.0,5.00,20.00,59840.00,6582.40,53257.60,29920.00,23337.60,10/1/2013,10, October 
Government,Germany, Paseo , High ,2992.0,10.00,20.00,59840.00,6582.40,53257.60,29920.00,23337.60,10/1/2013,10, October 
Channel Partners,Germany, VTT , Low ,2479.0,250.00,12.00,29748.00,892.44,28855.56,7437.00,21418.56,1/1/2014,1, January 
Enterprise,Germany, Amarilla , None ,4219.5,260.00,125.00,527437.50,0.00,527437.50,506340.00,21097.50,4/1/2014,4, April 
Government,Germany, VTT , Medium ,2297.0,250.00,20.00,45940.00,2297.00,43643.00,22970.00,20673.00,11/1/2013,11, November 
Small Business,Germany, Velo , High ,2536.0,120.00,300.00,760800.00,106512.00,654288.00,634000.00,20288.00,11/1/2013,11, November 
Channel Partners,Germany, Amarilla , High ,2574.0,260.00,12.00,30888.00,3088.80,27799.20,7722.00,20077.20,8/1/2014,8, August 
Government,Germany, Paseo , High ,2708.0,10.00,20.00,54160.00,7040.80,47119.20,27080.00,20039.20,2/1/2014,2, February 
Channel Partners,Germany, Montana , Medium ,2342.0,5.00,12.00,28104.00,1405.20,26698.80,7026.00,19672.80,11/1/2014,11, November 
Channel Partners,Germany, Velo , None ,2161.0,120.00,12.00,25932.00,0.00,25932.00,6483.00,19449.00,3/1/2014,3, March 
Small Business,Germany, Paseo , High ,1359.0,10.00,300.00,407700.00,48924.00,358776.00,339750.00,19026.00,11/1/2014,11, November 
Channel Partners,Germany, VTT , Medium ,2215.0,250.00,12.00,26580.00,1860.60,24719.40,6645.00,18074.40,9/1/2013,9, September 
Government,Germany, Paseo , Medium ,1934.0,10.00,20.00,38680.00,3094.40,35585.60,19340.00,16245.60,9/1/2014,9, September 
Government,Germany, Paseo , High ,357.0,10.00,350.00,124950.00,16243.50,108706.50,92820.00,15886.50,11/1/2014,11, November 
Channel Partners,Germany, Paseo , Medium ,1775.0,10.00,12.00,21300.00,1917.00,19383.00,5325.00,14058.00,11/1/2013,11, November 
Channel Partners,Germany, Montana , None ,1545.0,5.00,12.00,18540.00,0.00,18540.00,4635.00,13905.00,6/1/2014,6, June 
Channel Partners,Germany, Velo , None ,1545.0,120.00,12.00,18540.00,0.00,18540.00,4635.00,13905.00,6/1/2014,6, June 
Government,Germany, Carretera , None ,1321.0,3.00,20.00,26420.00,0.00,26420.00,13210.00,13210.00,1/1/2014,1, January 
Channel Partners,Germany, Amarilla , High ,1770.0,260.00,12.00,21240.00,2761.20,18478.80,5310.00,13168.80,12/1/2013,12, December 
Government,Germany, Amarilla , Medium ,1520.0,260.00,20.00,30400.00,2432.00,27968.00,15200.00,12768.00,11/1/2014,11, November 
Channel Partners,Germany, Carretera , Medium ,1580.0,3.00,12.00,18960.00,1706.40,17253.60,4740.00,12513.60,9/1/2014,9, September 
Government,Germany, Paseo , High ,1531.0,10.00,20.00,30620.00,3674.40,26945.60,15310.00,11635.60,12/1/2014,12, December 
Government,Germany, VTT , High ,1531.0,250.00,20.00,30620.00,3674.40,26945.60,15310.00,11635.60,12/1/2014,12, December 
Government,Germany, Paseo , Medium ,1366.0,10.00,20.00,27320.00,2185.60,25134.40,13660.00,11474.40,6/1/2014,6, June 
Government,Germany, Amarilla , Medium ,1366.0,260.00,20.00,27320.00,2185.60,25134.40,13660.00,11474.40,6/1/2014,6, June 
Small Business,Germany, Amarilla , Low ,259.0,260.00,300.00,77700.00,1554.00,76146.00,64750.00,11396.00,3/1/2014,3, March 
Small Business,Germany, Carretera , Low ,214.0,3.00,300.00,64200.00,1284.00,62916.00,53500.00,9416.00,10/1/2013,10, October 
Small Business,Germany, VTT , Low ,214.0,250.00,300.00,64200.00,1284.00,62916.00,53500.00,9416.00,10/1/2013,10, October 
Channel Partners,Germany, Carretera , Medium ,1116.0,3.00,12.00,13392.00,669.60,12722.40,3348.00,9374.40,2/1/2014,2, February 
Midmarket,Germany, Paseo , Medium ,2116.0,10.00,15.00,31740.00,1587.00,30153.00,21160.00,8993.00,12/1/2013,12, December 
Small Business,Germany, Paseo , High ,807.0,10.00,300.00,242100.00,31473.00,210627.00,201750.00,8877.00,1/1/2014,1, January 
Midmarket,Germany, Paseo , Low ,1945.0,10.00,15.00,29175.00,875.25,28299.75,19450.00,8849.75,10/1/2013,10, October 
Midmarket,Germany, VTT , Low ,1945.0,250.00,15.00,29175.00,875.25,28299.75,19450.00,8849.75,10/1/2013,10, October 
Government,Germany, Velo , Medium ,1001.0,120.00,20.00,20020.00,1201.20,18818.80,10010.00,8808.80,8/1/2014,8, August 
Government,Germany, Paseo , High ,1158.0,10.00,20.00,23160.00,3474.00,19686.00,11580.00,8106.00,3/1/2014,3, March 
Small Business,Germany, Montana , Medium ,334.0,5.00,300.00,100200.00,9018.00,91182.00,83500.00,7682.00,12/1/2013,12, December 
Channel Partners,Germany, Paseo , High ,1013.0,10.00,12.00,12156.00,1580.28,10575.72,3039.00,7536.72,12/1/2014,12, December 
Channel Partners,Germany, Velo , High ,1013.0,120.00,12.00,12156.00,1580.28,10575.72,3039.00,7536.72,12/1/2014,12, December 
Midmarket,Germany, Paseo , Medium ,1743.0,10.00,15.00,26145.00,1568.70,24576.30,17430.00,7146.30,8/1/2014,8, August 
Channel Partners,Germany, VTT , Medium ,880.0,250.00,12.00,10560.00,950.40,9609.60,2640.00,6969.60,5/1/2014,5, May 
Channel Partners,Germany, Carretera , Low ,766.0,3.00,12.00,9192.00,91.92,9100.08,2298.00,6802.08,10/1/2013,10, October 
Channel Partners,Germany, Paseo , Low ,766.0,10.00,12.00,9192.00,91.92,9100.08,2298.00,6802.08,10/1/2013,10, October 
Midmarket,Germany, Velo , Medium ,1530.0,120.00,15.00,22950.00,1377.00,21573.00,15300.00,6273.00,5/1/2014,5, May 
Enterprise,Germany, Amarilla , Low ,2276.0,260.00,125.00,284500.00,5690.00,278810.00,273120.00,5690.00,5/1/2014,5, May 
Government,Germany, Carretera , Medium ,663.0,3.00,20.00,13260.00,1193.40,12066.60,6630.00,5436.60,5/1/2014,5, May 
Government,Germany, Montana , Medium ,645.0,5.00,20.00,12900.00,1032.00,11868.00,6450.00,5418.00,7/1/2014,7, July 
Government,Germany, Velo , Medium ,588.0,120.00,20.00,11760.00,823.20,10936.80,5880.00,5056.80,12/1/2013,12, December 
Midmarket,Germany, Montana , None ,921.0,5.00,15.00,13815.00,0.00,13815.00,9210.00,4605.00,3/1/2014,3, March 
Midmarket,Germany, Carretera , None ,888.0,3.00,15.00,13320.00,0.00,13320.00,8880.00,4440.00,6/1/2014,6, June 
Midmarket,Germany, VTT , None ,888.0,250.00,15.00,13320.00,0.00,13320.00,8880.00,4440.00,6/1/2014,6, June 
Midmarket,Germany, Carretera , High ,1513.0,3.00,15.00,22695.00,3177.30,19517.70,15130.00,4387.70,11/1/2014,11, November 
Government,Germany, Montana , None ,2146.0,5.00,7.00,15022.00,0.00,15022.00,10730.00,4292.00,9/1/2014,9, September 
Channel Partners,Germany, Velo , High ,472.0,120.00,12.00,5664.00,623.04,5040.96,1416.00,3624.96,10/1/2014,10, October 
Channel Partners,Germany, Amarilla , High ,472.0,260.00,12.00,5664.00,623.04,5040.96,1416.00,3624.96,10/1/2014,10, October 
Midmarket,Germany, Paseo , Low ,747.0,10.00,15.00,11205.00,112.05,11092.95,7470.00,3622.95,9/1/2014,9, September 
Midmarket,Germany, Amarilla , Medium ,970.0,260.00,15.00,14550.00,1309.50,13240.50,9700.00,3540.50,11/1/2013,11, November 
Government,Germany, Montana , Low ,1958.0,5.00,7.00,13706.00,411.18,13294.82,9790.00,3504.82,2/1/2014,2, February 
Government,Germany, Paseo , Medium ,2409.0,10.00,7.00,16863.00,1349.04,15513.96,12045.00,3468.96,9/1/2013,9, September 
Government,Germany, Velo , High ,2665.0,120.00,7.00,18655.00,1865.50,16789.50,13325.00,3464.50,11/1/2014,11, November 
Government,Germany, Amarilla , None ,1686.0,260.00,7.00,11802.00,0.00,11802.00,8430.00,3372.00,7/1/2014,7, July 
Government,Germany, Velo , Medium ,2338.0,120.00,7.00,16366.00,1309.28,15056.72,11690.00,3366.72,6/1/2014,6, June 
Government,Germany, VTT , Medium ,2338.0,250.00,7.00,16366.00,1309.28,15056.72,11690.00,3366.72,6/1/2014,6, June 
Channel Partners,Germany, Paseo , None ,367.0,10.00,12.00,4404.00,0.00,4404.00,1101.00,3303.00,7/1/2014,7, July 
Government,Germany, Carretera , High ,442.0,3.00,20.00,8840.00,1149.20,7690.80,4420.00,3270.80,9/1/2013,9, September 
Midmarket,Germany, Paseo , High ,1175.0,10.00,15.00,17625.00,2643.75,14981.25,11750.00,3231.25,10/1/2014,10, October 
Midmarket,Germany, VTT , High ,1175.0,250.00,15.00,17625.00,2643.75,14981.25,11750.00,3231.25,10/1/2014,10, October 
Government,Germany, Paseo , Medium ,2125.0,10.00,7.00,14875.00,1041.25,13833.75,10625.00,3208.75,12/1/2013,12, December 
Midmarket,Germany, Montana , Medium ,711.0,5.00,15.00,10665.00,853.20,9811.80,7110.00,2701.80,12/1/2014,12, December 
Midmarket,Germany, Amarilla , Medium ,711.0,260.00,15.00,10665.00,853.20,9811.80,7110.00,2701.80,12/1/2014,12, December 
Midmarket,Germany, Velo , High ,681.0,120.00,15.00,10215.00,1021.50,9193.50,6810.00,2383.50,1/1/2014,1, January 
Government,Germany, Paseo , Medium ,1598.0,10.00,7.00,11186.00,894.88,10291.12,7990.00,2301.12,8/1/2014,8, August 
Government,Germany, Paseo , Medium ,1372.0,10.00,7.00,9604.00,480.20,9123.80,6860.00,2263.80,1/1/2014,1, January 
Enterprise,Germany, Montana , Low ,1706.0,5.00,125.00,213250.00,6397.50,206852.50,204720.00,2132.50,12/1/2014,12, December 
Enterprise,Germany, Paseo , Low ,1706.0,10.00,125.00,213250.00,6397.50,206852.50,204720.00,2132.50,12/1/2014,12, December 
Enterprise,Germany, Paseo , Low ,809.0,10.00,125.00,101125.00,2022.50,99102.50,97080.00,2022.50,10/1/2013,10, October 
Enterprise,Germany, Velo , Low ,809.0,120.00,125.00,101125.00,2022.50,99102.50,97080.00,2022.50,10/1/2013,10, October 
Midmarket,Germany, Velo , High ,660.0,120.00,15.00,9900.00,1287.00,8613.00,6600.00,2013.00,9/1/2013,9, September 
Enterprise,Germany, Paseo , Low ,1570.0,10.00,125.00,196250.00,5887.50,190362.50,188400.00,1962.50,6/1/2014,6, June 
Enterprise,Germany, VTT , Low ,1570.0,250.00,125.00,196250.00,5887.50,190362.50,188400.00,1962.50,6/1/2014,6, June 
Government,Germany, Paseo , High ,241.0,10.00,20.00,4820.00,482.00,4338.00,2410.00,1928.00,10/1/2014,10, October 
Government,Germany, Velo , High ,241.0,120.00,20.00,4820.00,482.00,4338.00,2410.00,1928.00,10/1/2014,10, October 
Government,Germany, Montana , Medium ,1159.0,5.00,7.00,8113.00,405.65,7707.35,5795.00,1912.35,10/1/2013,10, October 
Government,Germany, Amarilla , Medium ,1159.0,260.00,7.00,8113.00,405.65,7707.35,5795.00,1912.35,10/1/2013,10, October 
Government,Germany, Paseo , Medium ,1259.0,10.00,7.00,8813.00,705.04,8107.96,6295.00,1812.96,4/1/2014,4, April 
Midmarket,Germany, Velo , High ,510.0,120.00,15.00,7650.00,765.00,6885.00,5100.00,1785.00,4/1/2014,4, April 
Government,Germany, Carretera , Medium ,1016.0,3.00,7.00,7112.00,355.60,6756.40,5080.00,1676.40,11/1/2013,11, November 
Government,Germany, Paseo , Medium ,1095.0,10.00,7.00,7665.00,613.20,7051.80,5475.00,1576.80,5/1/2014,5, May 
Midmarket,Germany, VTT , High ,492.0,250.00,15.00,7380.00,1107.00,6273.00,4920.00,1353.00,7/1/2014,7, July 
Midmarket,Germany, Paseo , High ,278.0,10.00,15.00,4170.00,583.80,3586.20,2780.00,806.20,2/1/2014,2, February 
Government,Germany, VTT , Low ,263.0,250.00,7.00,1841.00,18.41,1822.59,1315.00,507.59,3/1/2014,3, March 
Government,Germany, Paseo , Medium ,360.0,10.00,7.00,2520.00,226.80,2293.20,1800.00,493.20,10/1/2014,10, October 
Government,Germany, VTT , Medium ,360.0,250.00,7.00,2520.00,226.80,2293.20,1800.00,493.20,10/1/2014,10, October 
Government,Germany, Carretera , High ,280.0,3.00,7.00,1960.00,274.40,1685.60,1400.00,285.60,12/1/2014,12, December 
Government,Germany, VTT , High ,280.0,250.00,7.00,1960.00,274.40,1685.60,1400.00,285.60,12/1/2014,12, December 
Enterprise,Germany, Paseo , Low ,795.0,10.00,125.00,99375.00,3975.00,95400.00,95400.00,0.00,3/1/2014,3, March 
Enterprise,Germany, Velo , Medium ,807.0,120.00,125.00,100875.00,5043.75,95831.25,96840.00,-1008.75,2/1/2014,2, February 
Enterprise,Germany, Carretera , Medium ,887.0,3.00,125.00,110875.00,6652.50,104222.50,106440.00,-2217.50,12/1/2013,12, December 
Enterprise,Germany, Amarilla , Medium ,994.0,260.00,125.00,124250.00,8697.50,115552.50,119280.00,-3727.50,9/1/2013,9, September 
Enterprise,Germany, VTT , High ,552.0,250.00,125.00,69000.00,10350.00,58650.00,66240.00,-7590.00,11/1/2014,11, November 
Enterprise,Germany, Velo , Medium ,2087.0,120.00,125.00,260875.00,18261.25,242613.75,250440.00,-7826.25,9/1/2014,9, September 
Enterprise,Germany, Montana , Medium ,2500.0,5.00,125.00,312500.00,21875.00,290625.00,300000.00,-9375.00,11/1/2013,11, November 
Enterprise,Germany, Paseo , Medium ,3513.0,10.00,125.00,439125.00,30738.75,408386.25,421560.00,-13173.75,7/1/2014,7, July 
Enterprise,Germany, Carretera , High ,1085.0,3.00,125.00,135625.00,20343.75,115281.25,130200.00,-14918.75,10/1/2014,10, October 
Enterprise,Germany, Paseo , High ,1085.0,10.00,125.00,135625.00,20343.75,115281.25,130200.00,-14918.75,10/1/2014,10, October 
Enterprise,Germany, Amarilla , High ,3165.0,260.00,125.00,395625.00,43518.75,352106.25,379800.00,-27693.75,1/1/2014,1, January 
Enterprise,Germany, Carretera , High ,2767.0,3.00,125.00,345875.00,51881.25,293993.75,332040.00,-38046.25,8/1/2014,8, August 
